rowname	sum.taxonomy
asv.454	Eukaryota;Chordata;Actinopteri;Gobiiformes;Gobiidae;Pomatoschistus;
asv.456	Eukaryota;Chordata;Actinopteri;Pleuronectiformes;Pleuronectidae;;
asv.458	Eukaryota;Chordata;Actinopteri;Gobiiformes;Gobiidae;Pomatoschistus;
asv.459	Eukaryota;Chordata;Actinopteri;nan;Sillaginidae;Sillago;Sillago_cf._sihama_JYP570
asv.462	Eukaryota;Chordata;Actinopteri;Gobiiformes;Gobiidae;Pomatoschistus;
asv.463	Eukaryota;Chordata;Actinopteri;Gobiiformes;Gobiidae;Pomatoschistus;
asv.546	Eukaryota;Chordata;Actinopteri;Pleuronectiformes;Pleuronectidae;;
asv.547	Eukaryota;Chordata;Actinopteri;Gobiiformes;Gobiidae;Pomatoschistus;
asv.555	Eukaryota;Chordata;Actinopteri;Gobiiformes;Gobiidae;Pomatoschistus;
asv.559	Eukaryota;Chordata;Actinopteri;Gobiiformes;Gobiidae;Pomatoschistus;
asv.529	Eukaryota;Chordata;Actinopteri;Pleuronectiformes;Pleuronectidae;;
asv.533	Eukaryota;Chordata;Actinopteri;Pleuronectiformes;Pleuronectidae;;
asv.534	Eukaryota;Chordata;Actinopteri;Gobiiformes;Gobiidae;Pomatoschistus;
asv.543	Eukaryota;Chordata;Actinopteri;Pleuronectiformes;Pleuronectidae;;
asv.515	Eukaryota;Chordata;Actinopteri;nan;Sillaginidae;Sillago;Sillago_cf._sihama_JYP570
asv.517	Eukaryota;Chordata;Actinopteri;nan;Sillaginidae;Sillago;Sillago_cf._sihama_JYP570
asv.518	Eukaryota;Chordata;Actinopteri;Gobiiformes;Gobiidae;Pomatoschistus;
asv.519	Eukaryota;Chordata;Actinopteri;nan;Sillaginidae;Sillago;Sillago_cf._sihama_JYP570
asv.521	Eukaryota;Chordata;Actinopteri;Pleuronectiformes;Pleuronectidae;;
asv.523	Eukaryota;Chordata;Actinopteri;Syngnathiformes;Mullidae;Mulloidichthys;
asv.524	Eukaryota;Chordata;Chondrichthyes;Myliobatiformes;Dasyatidae;;
asv.526	Eukaryota;Chordata;Actinopteri;Tetraodontiformes;Monacanthidae;;
asv.527	Eukaryota;Chordata;Actinopteri;nan;Siganidae;Siganus;Siganus_fuscescens
asv.562	Eukaryota;Chordata;Actinopteri;Gobiiformes;Gobiidae;Pomatoschistus;
asv.565	Eukaryota;Chordata;Actinopteri;Gobiiformes;Gobiidae;Pomatoschistus;
asv.568	Eukaryota;Chordata;Actinopteri;Gobiiformes;Gobiidae;Pomatoschistus;
asv.571	Eukaryota;Chordata;Actinopteri;Pleuronectiformes;Pleuronectidae;;
asv.574	Eukaryota;Chordata;Actinopteri;Pleuronectiformes;Pleuronectidae;;
asv.576	Eukaryota;Chordata;Chondrichthyes;Myliobatiformes;Dasyatidae;;
asv.593	Eukaryota;Chordata;Actinopteri;nan;Pomacentridae;Abudefduf;Abudefduf_bengalensis
asv.596	Eukaryota;Chordata;Actinopteri;nan;Sillaginidae;Sillago;Sillago_cf._sihama_JYP570
asv.597	Eukaryota;Chordata;Actinopteri;Tetraodontiformes;Monacanthidae;;
asv.599	Eukaryota;Chordata;Actinopteri;Perciformes;Percidae;Perca;Perca_fluviatilis
asv.607	Eukaryota;Chordata;Actinopteri;Blenniiformes;Blenniidae;Entomacrodus;Entomacrodus_caudofasciatus
asv.608	Eukaryota;Chordata;Actinopteri;Gobiiformes;Gobiidae;Pomatoschistus;
asv.577	Eukaryota;Chordata;Actinopteri;Gobiiformes;Gobiidae;Pomatoschistus;
